ensembl_gene_id	gene_biotype	hgnc_symbol	description	entrezgene_id
ENSAPLG00020005363	protein_coding	CEP97	centrosomal protein 97 [Source:HGNC Symbol;Acc:HGNC:26244]	NA
ENSAPLG00020005364	protein_coding			NA
ENSAPLG00020005365	protein_coding	PDC	phosducin [Source:HGNC Symbol;Acc:HGNC:8759]	NA
ENSAPLG00020005366	protein_coding	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	NA
ENSAPLG00020005367	protein_coding	CLSTN2	calsyntenin 2 [Source:HGNC Symbol;Acc:HGNC:17448]	NA
ENSAPLG00020005368	protein_coding	HOXD10	homeobox D10 [Source:NCBI gene;Acc:101802231]	101802231
ENSAPLG00020005369	protein_coding	DOK3	docking protein 3 [Source:HGNC Symbol;Acc:HGNC:24583]	NA
ENSAPLG00020005370	protein_coding	KAZALD1	Kazal type serine peptidase inhibitor domain 1 [Source:HGNC Symbol;Acc:HGNC:25460]	NA
ENSAPLG00020005371	protein_coding	TASP1	taspase 1 [Source:NCBI gene;Acc:101802943]	101802943
ENSAPLG00020005372	protein_coding			NA
ENSAPLG00020005373	protein_coding			NA
ENSAPLG00020005374	protein_coding	FHOD1	formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]	NA
ENSAPLG00020005375	protein_coding	TMEM181	transmembrane protein 181 [Source:HGNC Symbol;Acc:HGNC:20958]	NA
ENSAPLG00020005376	protein_coding	RSPO3	R-spondin 3 [Source:HGNC Symbol;Acc:HGNC:20866]	NA
ENSAPLG00020005377	protein_coding			NA
ENSAPLG00020005378	protein_coding			NA
ENSAPLG00020005379	protein_coding	HOXD11	homeobox D11 [Source:NCBI gene;Acc:101802022]	101802022
ENSAPLG00020005380	protein_coding			NA
ENSAPLG00020005381	pseudogene			NA
ENSAPLG00020005382	protein_coding	IPO7	importin 7 [Source:NCBI gene;Acc:101801195]	101801195
ENSAPLG00020005383	protein_coding			NA
ENSAPLG00020005384	protein_coding	ODR4	odr-4 GPCR localization factor homolog [Source:HGNC Symbol;Acc:HGNC:24299]	NA
ENSAPLG00020005385	protein_coding			NA
ENSAPLG00020005386	protein_coding	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	NA
ENSAPLG00020005387	protein_coding	RNF146	ring finger protein 146 [Source:HGNC Symbol;Acc:HGNC:21336]	NA
ENSAPLG00020005388	protein_coding	PREP	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	NA
ENSAPLG00020005389	protein_coding	TLX1	T cell leukemia homeobox 1 [Source:NCBI gene;Acc:101791148]	101791148
ENSAPLG00020005390	protein_coding	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	NA
ENSAPLG00020005391	protein_coding	TUBGCP2	tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599]	NA
ENSAPLG00020005392	protein_coding			NA
ENSAPLG00020005393	processed_pseudogene			NA
ENSAPLG00020005394	protein_coding	HOXD12	homeobox D12 [Source:NCBI gene;Acc:101801829]	101801829
ENSAPLG00020005395	protein_coding			NA
ENSAPLG00020005396	protein_coding	PREPL	prolyl endopeptidase like [Source:HGNC Symbol;Acc:HGNC:30228]	NA
ENSAPLG00020005397	pseudogene			NA
ENSAPLG00020005398	protein_coding			NA
ENSAPLG00020005399	protein_coding			NA
ENSAPLG00020005400	protein_coding	ECHDC1	ethylmalonyl-CoA decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:21489]	NA
ENSAPLG00020005401	protein_coding	PRELID3B	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	NA
ENSAPLG00020005402	protein_coding			NA
ENSAPLG00020005403	protein_coding			NA
ENSAPLG00020005404	protein_coding			NA
ENSAPLG00020005405	protein_coding			NA
ENSAPLG00020005406	protein_coding	TMEM255A	transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086]	NA
ENSAPLG00020005407	protein_coding	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]	NA
ENSAPLG00020005408	protein_coding	LBX1	transcription factor LBX1-like [Source:NCBI gene;Acc:113844013]	113844013
ENSAPLG00020005409	protein_coding	HOXD13	homeobox D13 [Source:HGNC Symbol;Acc:HGNC:5136]	NA
ENSAPLG00020005410	protein_coding	SHANK2	SH3 and multiple ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:14295]	NA
ENSAPLG00020005411	protein_coding	NXPE3	neurexophilin and PC-esterase domain family member 3 [Source:HGNC Symbol;Acc:HGNC:28238]	NA
ENSAPLG00020005412	protein_coding	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4 [Source:HGNC Symbol;Acc:HGNC:16882]	NA
ENSAPLG00020005413	protein_coding	EFCAB11	EF-hand calcium binding domain 11 [Source:HGNC Symbol;Acc:HGNC:20357]	NA
ENSAPLG00020005414	pseudogene			NA
ENSAPLG00020005415	protein_coding	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:17168]	NA
ENSAPLG00020005416	processed_pseudogene			NA
ENSAPLG00020005417	protein_coding			NA
ENSAPLG00020005418	protein_coding	TRIM42	tripartite motif containing 42 [Source:HGNC Symbol;Acc:HGNC:19014]	NA
ENSAPLG00020005419	protein_coding	OPA1	OPA1 mitochondrial dynamin like GTPase [Source:NCBI gene;Acc:101802539]	101802539
ENSAPLG00020005420	protein_coding			NA
ENSAPLG00020005421	protein_coding			NA
ENSAPLG00020005422	snoRNA	SNORA23	small nucleolar RNA, H/ACA box 23 [Source:HGNC Symbol;Acc:HGNC:32613]	NA
ENSAPLG00020005423	protein_coding	DDX59	DEAD-box helicase 59 [Source:HGNC Symbol;Acc:HGNC:25360]	NA
ENSAPLG00020005424	protein_coding			NA
ENSAPLG00020005425	protein_coding			NA
ENSAPLG00020005426	protein_coding	EVX2	even-skipped homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3507]	NA
ENSAPLG00020005427	protein_coding	ZNF831	zinc finger protein 831 [Source:HGNC Symbol;Acc:HGNC:16167]	NA
ENSAPLG00020005428	protein_coding	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	NA
ENSAPLG00020005429	protein_coding	DBN1	drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]	NA
ENSAPLG00020005430	protein_coding	CAMKMT	calmodulin-lysine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:26276]	NA
ENSAPLG00020005431	protein_coding			NA
ENSAPLG00020005432	lncRNA			NA
ENSAPLG00020005433	protein_coding	ATP1B4	ATPase Na+/K+ transporting family member beta 4 [Source:NCBI gene;Acc:101795008]	101795008
ENSAPLG00020005434	protein_coding	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:NCBI gene;Acc:101795851]	101795851
ENSAPLG00020005435	protein_coding	RAD54L2	RAD54 like 2 [Source:HGNC Symbol;Acc:HGNC:29123]	NA
ENSAPLG00020005436	protein_coding	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]	NA
ENSAPLG00020005437	protein_coding	PIGV	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]	NA
ENSAPLG00020005438	protein_coding	TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11804]	NA
ENSAPLG00020005439	protein_coding	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:NCBI gene;Acc:101800258]	101800258
ENSAPLG00020005440	protein_coding	ESRP1	epithelial splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25966]	NA
ENSAPLG00020005441	protein_coding			NA
ENSAPLG00020005442	protein_coding	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:15899]	NA
ENSAPLG00020005443	protein_coding	ZDHHC18	zinc finger DHHC-type palmitoyltransferase 18 [Source:HGNC Symbol;Acc:HGNC:20712]	NA
ENSAPLG00020005444	protein_coding			NA
ENSAPLG00020005445	protein_coding			NA
ENSAPLG00020005446	protein_coding	RNF166	ring finger protein 166 [Source:HGNC Symbol;Acc:HGNC:28856]	NA
ENSAPLG00020005447	protein_coding	LNPK	lunapark, ER junction formation factor [Source:HGNC Symbol;Acc:HGNC:21610]	NA
ENSAPLG00020005448	protein_coding	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1 [Source:NCBI gene;Acc:101800609]	101800609
ENSAPLG00020005449	protein_coding	LAMP2	lysosomal associated membrane protein 2 [Source:NCBI gene;Acc:101795466]	101795466
ENSAPLG00020005450	protein_coding	MYT1L	myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]	NA
ENSAPLG00020005451	protein_coding			NA
ENSAPLG00020005452	protein_coding	EDN3	endothelin 3 [Source:HGNC Symbol;Acc:HGNC:3178]	NA
ENSAPLG00020005453	lncRNA			NA
ENSAPLG00020005454	protein_coding	VPS26C	VPS26 endosomal protein sorting factor C [Source:HGNC Symbol;Acc:HGNC:3044]	NA
ENSAPLG00020005455	protein_coding	KIF14	kinesin family member 14 [Source:NCBI gene;Acc:101801170]	101801170
ENSAPLG00020005456	protein_coding			NA
ENSAPLG00020005457	protein_coding	SIX3	SIX homeobox 3 [Source:NCBI gene;Acc:113843165]	113843165
ENSAPLG00020005458	protein_coding	ZNF143	zinc finger protein 143 [Source:HGNC Symbol;Acc:HGNC:12928]	NA
ENSAPLG00020005459	protein_coding			NA
ENSAPLG00020005460	protein_coding	C17orf58	chromosome 17 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:27568]	NA
ENSAPLG00020005461	protein_coding	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	NA
ENSAPLG00020005462	protein_coding	FMNL2	formin like 2 [Source:HGNC Symbol;Acc:HGNC:18267]	NA
ENSAPLG00020005463	protein_coding	EIF5	eukaryotic translation initiation factor 5 [Source:NCBI gene;Acc:101792060]	101792060
ENSAPLG00020005464	protein_coding	PRR7	proline rich 7, synaptic [Source:HGNC Symbol;Acc:HGNC:28130]	NA
ENSAPLG00020005465	protein_coding			NA
ENSAPLG00020005466	protein_coding	SIX2	homeobox protein SIX2 [Source:NCBI gene;Acc:101799424]	101799424
ENSAPLG00020005467	protein_coding	PHACTR3	phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833]	NA
ENSAPLG00020005468	protein_coding	EFCAB2	EF-hand calcium binding domain 2 [Source:HGNC Symbol;Acc:HGNC:28166]	NA
ENSAPLG00020005469	protein_coding	GPN2	GPN-loop GTPase 2 [Source:NCBI gene;Acc:106016388]	106016388
ENSAPLG00020005470	protein_coding	FLRT3	fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762]	NA
ENSAPLG00020005471	protein_coding			NA
ENSAPLG00020005472	protein_coding	ATP5MC3	ATP synthase membrane subunit c locus 3 [Source:NCBI gene;Acc:101791642]	101791642
ENSAPLG00020005473	protein_coding			NA
ENSAPLG00020005474	protein_coding		thrombospondin 4 [Source:NCBI gene;Acc:101801619]	101801619
ENSAPLG00020005475	processed_pseudogene			NA
ENSAPLG00020005476	protein_coding		sortilin 1 [Source:NCBI gene;Acc:101790562]	101790562
ENSAPLG00020005477	protein_coding	FAR2	fatty acyl-CoA reductase 2 [Source:NCBI gene;Acc:101799736]	101799736
ENSAPLG00020005478	protein_coding			NA
ENSAPLG00020005479	protein_coding			NA
ENSAPLG00020005480	protein_coding			NA
ENSAPLG00020005481	snRNA		U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	NA
ENSAPLG00020005482	protein_coding			NA
ENSAPLG00020005483	protein_coding			NA
ENSAPLG00020005484	protein_coding	GRK6	G protein-coupled receptor kinase 6 [Source:NCBI gene;Acc:101798639]	101798639
ENSAPLG00020005485	protein_coding	CTU2	cytosolic thiouridylase subunit 2 [Source:HGNC Symbol;Acc:HGNC:28005]	NA
ENSAPLG00020005486	snoRNA		small nucleolar RNA, H/ACA box 28 [Source:HGNC Symbol;Acc:HGNC:32618]	NA
ENSAPLG00020005487	protein_coding			NA
ENSAPLG00020005488	protein_coding	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	NA
ENSAPLG00020005489	protein_coding	GPATCH3	G-patch domain containing 3 [Source:NCBI gene;Acc:101800760]	101800760
ENSAPLG00020005490	protein_coding	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	NA
ENSAPLG00020005491	protein_coding	VIRMA	vir like m6A methyltransferase associated [Source:HGNC Symbol;Acc:HGNC:24500]	NA
ENSAPLG00020005492	protein_coding	ATF2	activating transcription factor 2 [Source:NCBI gene;Acc:101800932]	101800932
ENSAPLG00020005493	protein_coding		actin, alpha skeletal muscle B [Source:NCBI gene;Acc:101803316]	101803316
ENSAPLG00020005494	protein_coding			NA
ENSAPLG00020005495	protein_coding		uncharacterized LOC101792387 [Source:NCBI gene;Acc:101792387]	101792387
ENSAPLG00020005496	lncRNA			NA
ENSAPLG00020005497	protein_coding			NA
ENSAPLG00020005498	protein_coding	FOXN3	forkhead box N3 [Source:NCBI gene;Acc:101790176]	101790176
ENSAPLG00020005499	protein_coding	CUL4B	cullin 4B [Source:NCBI gene;Acc:101795785]	101795785
ENSAPLG00020005500	protein_coding	NR0B2	nuclear receptor subfamily 0 group B member 2 [Source:NCBI gene;Acc:101799243]	101799243
ENSAPLG00020005501	protein_coding			NA
ENSAPLG00020005502	protein_coding			NA
ENSAPLG00020005503	protein_coding			NA
ENSAPLG00020005504	protein_coding			NA
ENSAPLG00020005505	protein_coding	DCTN6	dynactin subunit 6 [Source:HGNC Symbol;Acc:HGNC:16964]	NA
ENSAPLG00020005506	pseudogene			NA
ENSAPLG00020005507	protein_coding	C6orf58	chromosome 6 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:20960]	NA
ENSAPLG00020005508	protein_coding	EIF3F	eukaryotic translation initiation factor 3 subunit F [Source:NCBI gene;Acc:101800490]	101800490
ENSAPLG00020005509	lncRNA			NA
ENSAPLG00020005510	protein_coding	RPIA	ribose 5-phosphate isomerase A [Source:NCBI gene;Acc:101801273]	101801273
ENSAPLG00020005511	protein_coding	RGS10	regulator of G protein signaling 10 [Source:NCBI gene;Acc:101794431]	101794431
ENSAPLG00020005512	protein_coding	NUDC	nuclear distribution C, dynein complex regulator [Source:NCBI gene;Acc:101800565]	101800565
ENSAPLG00020005513	lncRNA			NA
ENSAPLG00020005514	protein_coding	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	NA
ENSAPLG00020005515	protein_coding	PPP1R3D	protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]	NA
ENSAPLG00020005516	lncRNA			NA
ENSAPLG00020005517	protein_coding	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	NA
ENSAPLG00020005518	protein_coding	LMF1	lipase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:14154]	NA
ENSAPLG00020005519	protein_coding	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:NCBI gene;Acc:101799937]	101799937
ENSAPLG00020005520	protein_coding			NA
ENSAPLG00020005521	protein_coding	LRTM2	leucine rich repeats and transmembrane domains 2 [Source:NCBI gene;Acc:101790391]	101790391
ENSAPLG00020005522	protein_coding		olfactory receptor 10AG1-like [Source:NCBI gene;Acc:113842035]	113842035
ENSAPLG00020005523	protein_coding			NA
ENSAPLG00020005524	protein_coding			NA
ENSAPLG00020005525	protein_coding			NA
ENSAPLG00020005526	lncRNA			NA
ENSAPLG00020005527	protein_coding	MRPL27	mitochondrial ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:14483]	NA
ENSAPLG00020005528	protein_coding	ZNF281	zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075]	NA
ENSAPLG00020005529	protein_coding	GRK5	G protein-coupled receptor kinase 5 [Source:NCBI gene;Acc:101794252]	101794252
ENSAPLG00020005530	protein_coding	RBPMS	RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]	NA
ENSAPLG00020005531	protein_coding	SLC34A1	solute carrier family 34 member 1 [Source:HGNC Symbol;Acc:HGNC:11019]	NA
ENSAPLG00020005532	protein_coding	COX20	cytochrome c oxidase assembly factor COX20 [Source:HGNC Symbol;Acc:HGNC:26970]	NA
ENSAPLG00020005533	protein_coding	VPREB3	V-set pre-B cell surrogate light chain 3 [Source:HGNC Symbol;Acc:HGNC:12710]	NA
ENSAPLG00020005534	protein_coding	FAM217B	family with sequence similarity 217 member B [Source:NCBI gene;Acc:101790635]	101790635
ENSAPLG00020005535	protein_coding	KDF1	keratinocyte differentiation factor 1 [Source:NCBI gene;Acc:101799048]	101799048
ENSAPLG00020005536	protein_coding	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:NCBI gene;Acc:101792877]	101792877
ENSAPLG00020005537	protein_coding	JPT2	Jupiter microtubule associated homolog 2 [Source:NCBI gene;Acc:101790498]	101790498
ENSAPLG00020005538	protein_coding			NA
ENSAPLG00020005539	protein_coding			NA
ENSAPLG00020005540	protein_coding	ADPGK	ADP dependent glucokinase [Source:HGNC Symbol;Acc:HGNC:25250]	NA
ENSAPLG00020005541	protein_coding			NA
ENSAPLG00020005542	protein_coding	DCP1B	decapping mRNA 1B [Source:NCBI gene;Acc:101791965]	101791965
ENSAPLG00020005543	protein_coding			NA
ENSAPLG00020005544	protein_coding	KCNB1	potassium voltage-gated channel subfamily B member 1 [Source:NCBI gene;Acc:101798666]	101798666
ENSAPLG00020005545	protein_coding	EXOC3L4	exocyst complex component 3 like 4 [Source:HGNC Symbol;Acc:HGNC:20120]	NA
ENSAPLG00020005546	protein_coding			NA
ENSAPLG00020005547	protein_coding	SLC9A5	solute carrier family 9 member A5 [Source:HGNC Symbol;Acc:HGNC:11078]	NA
ENSAPLG00020005548	protein_coding			NA
ENSAPLG00020005549	protein_coding			NA
ENSAPLG00020005550	protein_coding	CHN1	chimerin 1 [Source:NCBI gene;Acc:101801326]	101801326
ENSAPLG00020005551	protein_coding	EME1	essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:24965]	NA
ENSAPLG00020005552	protein_coding	THEMIS	thymocyte selection associated [Source:HGNC Symbol;Acc:HGNC:21569]	NA
ENSAPLG00020005553	protein_coding			NA
ENSAPLG00020005554	protein_coding	NR5A2	nuclear receptor subfamily 5 group A member 2 [Source:NCBI gene;Acc:101799625]	101799625
ENSAPLG00020005555	protein_coding			NA
ENSAPLG00020005556	protein_coding	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	NA
ENSAPLG00020005557	protein_coding	CARHSP1	calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]	NA
ENSAPLG00020005558	protein_coding			NA
ENSAPLG00020005559	protein_coding	CDH26	cadherin 26 [Source:HGNC Symbol;Acc:HGNC:15902]	NA
ENSAPLG00020005560	protein_coding	DESI2	desumoylating isopeptidase 2 [Source:NCBI gene;Acc:106014256]	106014256
ENSAPLG00020005561	protein_coding	SOX8	SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]	NA
ENSAPLG00020005562	protein_coding			NA
ENSAPLG00020005563	protein_coding			NA
ENSAPLG00020005564	protein_coding			NA
ENSAPLG00020005565	protein_coding			NA
ENSAPLG00020005566	protein_coding			NA
ENSAPLG00020005567	protein_coding			NA
ENSAPLG00020005568	protein_coding	RGS14	regulator of G protein signaling 14 [Source:HGNC Symbol;Acc:HGNC:9996]	NA
ENSAPLG00020005569	protein_coding	TTC8	tetratricopeptide repeat domain 8 [Source:NCBI gene;Acc:101790831]	101790831
ENSAPLG00020005570	protein_coding			NA
ENSAPLG00020005571	protein_coding	PMM2	phosphomannomutase 2 [Source:NCBI gene;Acc:101802718]	101802718
ENSAPLG00020005572	miRNA	MIR181A1	microRNA 181a-1 [Source:HGNC Symbol;Acc:HGNC:31590]	NA
ENSAPLG00020005573	protein_coding			NA
ENSAPLG00020005574	protein_coding			NA
ENSAPLG00020005575	lncRNA			NA
ENSAPLG00020005576	protein_coding	SSTR5	somatostatin receptor 5 [Source:HGNC Symbol;Acc:HGNC:11334]	NA
ENSAPLG00020005577	protein_coding	ADSS2	adenylosuccinate synthase 2 [Source:NCBI gene;Acc:101805455]	101805455
ENSAPLG00020005578	miRNA		microRNA 181b-1 [Source:HGNC Symbol;Acc:HGNC:31550]	NA
ENSAPLG00020005579	protein_coding		MCTS1 re-initiation and release factor [Source:NCBI gene;Acc:101800577]	101800577
ENSAPLG00020005580	protein_coding	LRRC59	leucine rich repeat containing 59 [Source:HGNC Symbol;Acc:HGNC:28817]	NA
ENSAPLG00020005581	protein_coding	BABAM2	BRISC and BRCA1 A complex member 2 [Source:NCBI gene;Acc:101793627]	101793627
ENSAPLG00020005582	protein_coding		somatomedin-B and thrombospondin type-1 domain-containing protein [Source:NCBI gene;Acc:106016000]	106016000
ENSAPLG00020005583	protein_coding	KCNJ6	potassium inwardly rectifying channel subfamily J member 6 [Source:NCBI gene;Acc:101797099]	101797099
ENSAPLG00020005584	protein_coding	TENT5B	terminal nucleotidyltransferase 5B [Source:HGNC Symbol;Acc:HGNC:28273]	NA
ENSAPLG00020005585	protein_coding	GTF2E2	general transcription factor IIE subunit 2 [Source:NCBI gene;Acc:106018826]	106018826
ENSAPLG00020005586	protein_coding	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	NA
ENSAPLG00020005587	protein_coding			NA
ENSAPLG00020005588	protein_coding	ANXA7	annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]	NA
ENSAPLG00020005589	protein_coding	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	NA
ENSAPLG00020005590	protein_coding	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]	NA
ENSAPLG00020005591	miRNA		apl-mir-11588 [Source:miRBase;Acc:MI0037138]	NA
ENSAPLG00020005592	protein_coding			NA
ENSAPLG00020005593	protein_coding	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	NA
ENSAPLG00020005594	protein_coding	C1QTNF8	C1q and TNF related 8 [Source:HGNC Symbol;Acc:HGNC:31374]	NA
ENSAPLG00020005595	protein_coding			NA
ENSAPLG00020005596	protein_coding	BRK1	BRICK1 subunit of SCAR/WAVE actin nucleating complex [Source:HGNC Symbol;Acc:HGNC:23057]	NA
ENSAPLG00020005597	protein_coding	KCNJ15	potassium inwardly rectifying channel subfamily J member 15 [Source:NCBI gene;Acc:101795505]	101795505
ENSAPLG00020005598	protein_coding	POLL	DNA polymerase lambda [Source:NCBI gene;Acc:101796177]	101796177
ENSAPLG00020005599	protein_coding	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	NA
ENSAPLG00020005600	protein_coding	TMEM186	transmembrane protein 186 [Source:HGNC Symbol;Acc:HGNC:24530]	NA
ENSAPLG00020005601	protein_coding			NA
ENSAPLG00020005602	protein_coding	SRBD1	S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25521]	NA
ENSAPLG00020005603	protein_coding	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	NA
ENSAPLG00020005604	protein_coding	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	NA
ENSAPLG00020005605	protein_coding			NA
ENSAPLG00020005606	protein_coding	SLC9A1	solute carrier family 9 member A1 [Source:NCBI gene;Acc:101803574]	101803574
ENSAPLG00020005607	protein_coding	CCDC91	coiled-coil domain containing 91 [Source:NCBI gene;Acc:101799174]	101799174
ENSAPLG00020005608	protein_coding			NA
ENSAPLG00020005609	protein_coding	CDH4	cadherin 4 [Source:HGNC Symbol;Acc:HGNC:1763]	NA
ENSAPLG00020005610	snoRNA			NA
ENSAPLG00020005611	protein_coding	SMIM18	small integral membrane protein 18 [Source:NCBI gene;Acc:101800072]	101800072
ENSAPLG00020005612	protein_coding			NA
ENSAPLG00020005613	protein_coding			NA
ENSAPLG00020005614	protein_coding			NA
ENSAPLG00020005615	protein_coding		G protein-coupled receptor 61 [Source:NCBI gene;Acc:101789802]	101789802
ENSAPLG00020005616	protein_coding			NA
ENSAPLG00020005617	snoRNA			NA
ENSAPLG00020005618	protein_coding	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit [Source:HGNC Symbol;Acc:HGNC:1955]	NA
ENSAPLG00020005619	protein_coding	C1orf100	chromosome 1 open reading frame 100 [Source:HGNC Symbol;Acc:HGNC:30435]	NA
ENSAPLG00020005620	protein_coding	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:689]	NA
ENSAPLG00020005621	protein_coding	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:NCBI gene;Acc:101800684]	101800684
ENSAPLG00020005622	lncRNA			NA
ENSAPLG00020005623	protein_coding	HES1	hes family bHLH transcription factor 1 [Source:NCBI gene;Acc:113844479]	113844479
ENSAPLG00020005624	snoRNA			NA
ENSAPLG00020005625	protein_coding	ZBTB18	zinc finger and BTB domain containing 18 [Source:NCBI gene;Acc:101805000]	101805000
ENSAPLG00020005626	pseudogene			NA
ENSAPLG00020005627	protein_coding		G protein subunit alpha i3 [Source:NCBI gene;Acc:101803759]	101803759
ENSAPLG00020005628	protein_coding	ERG	ETS transcription factor ERG [Source:HGNC Symbol;Acc:HGNC:3446]	NA
ENSAPLG00020005629	protein_coding	CIAO2B	cytosolic iron-sulfur assembly component 2B [Source:NCBI gene;Acc:101797963]	101797963
ENSAPLG00020005630	pseudogene			NA
ENSAPLG00020005631	protein_coding	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	NA
ENSAPLG00020005632	snoRNA			NA
ENSAPLG00020005633	protein_coding			NA
ENSAPLG00020005634	protein_coding	MMP11	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]	NA
ENSAPLG00020005635	pseudogene			NA
ENSAPLG00020005636	protein_coding	LMAN2	lectin, mannose binding 2 [Source:HGNC Symbol;Acc:HGNC:16986]	NA
ENSAPLG00020005637	protein_coding	DNPEP	aspartyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:2981]	NA
ENSAPLG00020005638	protein_coding	GRIA3	glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573]	NA
ENSAPLG00020005639	protein_coding	POLR2H	RNA polymerase II subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	NA
ENSAPLG00020005640	protein_coding			NA
ENSAPLG00020005641	protein_coding	WIPF1	WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]	NA
ENSAPLG00020005642	protein_coding	LYSMD2	LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]	NA
ENSAPLG00020005643	snoRNA			NA
ENSAPLG00020005644	protein_coding	TAF4	TATA-box binding protein associated factor 4 [Source:HGNC Symbol;Acc:HGNC:11537]	NA
ENSAPLG00020005645	protein_coding		tektin 4 [Source:HGNC Symbol;Acc:HGNC:31012]	NA
ENSAPLG00020005646	protein_coding	PISD	phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]	NA
ENSAPLG00020005647	pseudogene			NA
