ensembl_transcript_id	transcript_biotype	hgnc_symbol	description	entrezgene_id
ENSAPLT00020004148	protein_coding			NA
ENSAPLT00020004149	protein_coding			NA
ENSAPLT00020004150	protein_coding	AFF2	AF4/FMR2 family member 2 [Source:NCBI gene;Acc:101789773]	101789773
ENSAPLT00020004151	protein_coding	C3orf14	chromosome 13 C3orf14 homolog [Source:NCBI gene;Acc:101797821]	101797821
ENSAPLT00020004152	protein_coding	UBR1	ubiquitin protein ligase E3 component n-recognin 1 [Source:HGNC Symbol;Acc:HGNC:16808]	NA
ENSAPLT00020004153	protein_coding	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101790659]	101790659
ENSAPLT00020004154	protein_coding	FER	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]	NA
ENSAPLT00020004155	protein_coding		olfactory receptor 14A16-like [Source:NCBI gene;Acc:113842066]	113842066
ENSAPLT00020004156	protein_coding	DIXDC1	DIX domain containing 1 [Source:NCBI gene;Acc:101801366]	101801366
ENSAPLT00020004157	protein_coding	ELF2	E74 like ETS transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3317]	NA
ENSAPLT00020004158	protein_coding	USP5	ubiquitin specific peptidase 5 [Source:HGNC Symbol;Acc:HGNC:12628]	NA
ENSAPLT00020004159	protein_coding			NA
ENSAPLT00020004160	protein_coding			NA
ENSAPLT00020004161	protein_coding		Yes associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16262]	NA
ENSAPLT00020004162	protein_coding			NA
ENSAPLT00020004163	protein_coding			NA
ENSAPLT00020004164	protein_coding	RPL35	ribosomal protein L35 [Source:NCBI gene;Acc:101801991]	101801991
ENSAPLT00020004165	protein_coding	CKAP5	cytoskeleton associated protein 5 [Source:NCBI gene;Acc:101792298]	101792298
ENSAPLT00020004166	protein_coding		unk like zinc finger [Source:NCBI gene;Acc:101798859]	101798859
ENSAPLT00020004167	protein_coding			NA
ENSAPLT00020004168	protein_coding	ELF2	E74 like ETS transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3317]	NA
ENSAPLT00020004169	protein_coding	MGME1	mitochondrial genome maintenance exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:16205]	NA
ENSAPLT00020004170	protein_coding	FEZF2	FEZ family zinc finger 2 [Source:NCBI gene;Acc:113845110]	113845110
ENSAPLT00020004171	protein_coding			NA
ENSAPLT00020004172	protein_coding			NA
ENSAPLT00020004173	protein_coding			NA
ENSAPLT00020004174	protein_coding			NA
ENSAPLT00020004175	protein_coding			NA
ENSAPLT00020004176	protein_coding			NA
ENSAPLT00020004177	protein_coding	SEC22C	SEC22 homolog C, vesicle trafficking protein [Source:HGNC Symbol;Acc:HGNC:16828]	NA
ENSAPLT00020004178	protein_coding	IPO8	importin 8 [Source:HGNC Symbol;Acc:HGNC:9853]	NA
ENSAPLT00020004179	protein_coding	AFF2	AF4/FMR2 family member 2 [Source:NCBI gene;Acc:101789773]	101789773
ENSAPLT00020004180	protein_coding			NA
ENSAPLT00020004181	protein_coding	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	NA
ENSAPLT00020004182	pseudogene			NA
ENSAPLT00020004183	protein_coding	USP5	ubiquitin specific peptidase 5 [Source:HGNC Symbol;Acc:HGNC:12628]	NA
ENSAPLT00020004184	protein_coding	ZC3H7B	zinc finger CCCH-type containing 7B [Source:HGNC Symbol;Acc:HGNC:30869]	NA
ENSAPLT00020004185	protein_coding	PARP8	poly(ADP-ribose) polymerase family member 8 [Source:HGNC Symbol;Acc:HGNC:26124]	NA
ENSAPLT00020004186	protein_coding	UBR1	ubiquitin protein ligase E3 component n-recognin 1 [Source:HGNC Symbol;Acc:HGNC:16808]	NA
ENSAPLT00020004187	protein_coding		unk like zinc finger [Source:NCBI gene;Acc:101798859]	101798859
ENSAPLT00020004188	protein_coding	DPF1	double PHD fingers 1 [Source:HGNC Symbol;Acc:HGNC:20225]	NA
ENSAPLT00020004189	protein_coding	IPO8	importin 8 [Source:HGNC Symbol;Acc:HGNC:9853]	NA
ENSAPLT00020004190	protein_coding			NA
ENSAPLT00020004191	lncRNA			NA
ENSAPLT00020004192	protein_coding	HEPH	hephaestin [Source:HGNC Symbol;Acc:HGNC:4866]	NA
ENSAPLT00020004193	pseudogene			NA
ENSAPLT00020004194	protein_coding	OLFM1	olfactomedin 1 [Source:NCBI gene;Acc:101793202]	101793202
ENSAPLT00020004195	protein_coding	SNX5	sorting nexin 5 [Source:NCBI gene;Acc:101794996]	101794996
ENSAPLT00020004196	lncRNA			NA
ENSAPLT00020004197	protein_coding	PARP8	poly(ADP-ribose) polymerase family member 8 [Source:HGNC Symbol;Acc:HGNC:26124]	NA
ENSAPLT00020004198	protein_coding			NA
ENSAPLT00020004199	protein_coding	KIFC1	kinesin family member C1 [Source:HGNC Symbol;Acc:HGNC:6389]	NA
ENSAPLT00020004200	protein_coding	IPO8	importin 8 [Source:HGNC Symbol;Acc:HGNC:9853]	NA
ENSAPLT00020004201	lncRNA			NA
ENSAPLT00020004202	lncRNA			NA
ENSAPLT00020004203	protein_coding	USP5	ubiquitin specific peptidase 5 [Source:HGNC Symbol;Acc:HGNC:12628]	NA
ENSAPLT00020004204	lncRNA			NA
ENSAPLT00020004205	protein_coding		olfactory receptor 14C36-like [Source:NCBI gene;Acc:113840707]	113840707
ENSAPLT00020004206	lncRNA			NA
ENSAPLT00020004207	protein_coding	DIXDC1	DIX domain containing 1 [Source:NCBI gene;Acc:101801366]	101801366
ENSAPLT00020004208	protein_coding	AGBL1	ATP/GTP binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:26504]	NA
ENSAPLT00020004209	protein_coding		Yes associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16262]	NA
ENSAPLT00020004210	protein_coding	ZC3H7B	zinc finger CCCH-type containing 7B [Source:HGNC Symbol;Acc:HGNC:30869]	NA
ENSAPLT00020004211	protein_coding			NA
ENSAPLT00020004212	protein_coding	HOXB13	homeobox B13 [Source:HGNC Symbol;Acc:HGNC:5112]	NA
ENSAPLT00020004213	protein_coding			NA
ENSAPLT00020004214	lncRNA			NA
ENSAPLT00020004215	protein_coding			NA
ENSAPLT00020004216	lncRNA			NA
ENSAPLT00020004217	pseudogene			NA
ENSAPLT00020004218	protein_coding			NA
ENSAPLT00020004219	protein_coding	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	NA
ENSAPLT00020004220	protein_coding			NA
ENSAPLT00020004221	protein_coding		unk like zinc finger [Source:NCBI gene;Acc:101798859]	101798859
ENSAPLT00020004222	protein_coding	CYLD	CYLD lysine 63 deubiquitinase [Source:NCBI gene;Acc:101792318]	101792318
ENSAPLT00020004223	protein_coding	AFF2	AF4/FMR2 family member 2 [Source:NCBI gene;Acc:101789773]	101789773
ENSAPLT00020004224	protein_coding	KLHL25	kelch like family member 25 [Source:NCBI gene;Acc:101791351]	101791351
ENSAPLT00020004225	protein_coding			NA
ENSAPLT00020004226	protein_coding	HOXB9	homeobox B9 [Source:NCBI gene;Acc:101797496]	101797496
ENSAPLT00020004227	protein_coding	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]	NA
ENSAPLT00020004228	protein_coding	ZBTB47	zinc finger and BTB domain containing 47 [Source:HGNC Symbol;Acc:HGNC:26955]	NA
ENSAPLT00020004229	protein_coding			NA
ENSAPLT00020004230	protein_coding		olfactory receptor 4D1-like [Source:NCBI gene;Acc:101793743]	101793743
ENSAPLT00020004230	protein_coding		olfactory receptor 4D1-like [Source:NCBI gene;Acc:101793743]	113840030
ENSAPLT00020004231	protein_coding	PCDHAC1	protocadherin alpha subfamily C, 1 [Source:HGNC Symbol;Acc:HGNC:8676]	NA
ENSAPLT00020004232	protein_coding	SNX5	sorting nexin 5 [Source:NCBI gene;Acc:101794996]	101794996
ENSAPLT00020004233	protein_coding	CFAP300	cilia and flagella associated protein 300 [Source:NCBI gene;Acc:101797947]	101797947
ENSAPLT00020004234	pseudogene			NA
ENSAPLT00020004235	protein_coding	PPME1	protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:HGNC:30178]	NA
ENSAPLT00020004236	protein_coding	CYLD	CYLD lysine 63 deubiquitinase [Source:NCBI gene;Acc:101792318]	101792318
ENSAPLT00020004237	protein_coding			NA
ENSAPLT00020004238	lncRNA			NA
ENSAPLT00020004239	protein_coding			NA
ENSAPLT00020004240	protein_coding			NA
ENSAPLT00020004241	lncRNA			NA
ENSAPLT00020004242	protein_coding	CYLD	CYLD lysine 63 deubiquitinase [Source:NCBI gene;Acc:101792318]	101792318
ENSAPLT00020004243	protein_coding	ITGA1	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	NA
ENSAPLT00020004244	protein_coding			NA
ENSAPLT00020004245	protein_coding			NA
ENSAPLT00020004246	protein_coding	HOXB8	homeobox B8 [Source:NCBI gene;Acc:101797800]	101797800
ENSAPLT00020004247	protein_coding	KLHL40	kelch like family member 40 [Source:HGNC Symbol;Acc:HGNC:30372]	NA
ENSAPLT00020004248	pseudogene			NA
ENSAPLT00020004249	protein_coding	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:NCBI gene;Acc:101797278]	101797278
ENSAPLT00020004250	protein_coding			NA
ENSAPLT00020004251	protein_coding	TMTC1	transmembrane O-mannosyltransferase targeting cadherins 1 [Source:HGNC Symbol;Acc:HGNC:24099]	NA
ENSAPLT00020004252	protein_coding			NA
ENSAPLT00020004253	protein_coding	RPL38	ribosomal protein L38 [Source:NCBI gene;Acc:101797961]	101797961
ENSAPLT00020004254	protein_coding			NA
ENSAPLT00020004255	protein_coding			NA
ENSAPLT00020004256	protein_coding	ZC3H7B	zinc finger CCCH-type containing 7B [Source:HGNC Symbol;Acc:HGNC:30869]	NA
ENSAPLT00020004257	protein_coding			NA
ENSAPLT00020004258	protein_coding	PSMD4	proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]	NA
ENSAPLT00020004259	protein_coding	PPME1	protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:HGNC:30178]	NA
ENSAPLT00020004260	protein_coding	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:NCBI gene;Acc:101797278]	101797278
ENSAPLT00020004261	protein_coding	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	NA
ENSAPLT00020004262	protein_coding	HOXB7	homeobox B7 [Source:HGNC Symbol;Acc:HGNC:5118]	NA
ENSAPLT00020004263	protein_coding			NA
ENSAPLT00020004264	processed_pseudogene			NA
ENSAPLT00020004265	protein_coding	GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:NCBI gene;Acc:101798677]	101798677
ENSAPLT00020004266	protein_coding	HOXB6	homeobox B6 [Source:NCBI gene;Acc:101798944]	101798944
ENSAPLT00020004267	protein_coding	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	NA
ENSAPLT00020004268	protein_coding			NA
ENSAPLT00020004269	protein_coding			NA
ENSAPLT00020004270	protein_coding			NA
ENSAPLT00020004271	protein_coding			NA
ENSAPLT00020004272	protein_coding			NA
ENSAPLT00020004273	protein_coding	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]	NA
ENSAPLT00020004274	protein_coding	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:NCBI gene;Acc:101797278]	101797278
ENSAPLT00020004275	protein_coding	PPME1	protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:HGNC:30178]	NA
ENSAPLT00020004276	protein_coding			NA
ENSAPLT00020004277	protein_coding	HOXB5	homeobox B5 [Source:NCBI gene;Acc:101798635]	101798635
ENSAPLT00020004278	pseudogene			NA
ENSAPLT00020004279	protein_coding	DMXL2	Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]	NA
ENSAPLT00020004280	protein_coding			NA
ENSAPLT00020004281	protein_coding	PSMD4	proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]	NA
ENSAPLT00020004282	protein_coding	CYLD	CYLD lysine 63 deubiquitinase [Source:NCBI gene;Acc:101792318]	101792318
ENSAPLT00020004283	protein_coding	TSR3	TSR3 ribosome maturation factor [Source:NCBI gene;Acc:101798189]	101798189
ENSAPLT00020004284	protein_coding			NA
ENSAPLT00020004285	protein_coding		collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	NA
ENSAPLT00020004286	miRNA	MIR10A	microRNA 10a [Source:HGNC Symbol;Acc:HGNC:31497]	NA
ENSAPLT00020004287	protein_coding			NA
ENSAPLT00020004288	protein_coding			NA
ENSAPLT00020004289	protein_coding	CYLD	CYLD lysine 63 deubiquitinase [Source:NCBI gene;Acc:101792318]	101792318
ENSAPLT00020004290	protein_coding	DENND6A	DENN domain containing 6A [Source:HGNC Symbol;Acc:HGNC:26635]	NA
ENSAPLT00020004291	protein_coding			NA
ENSAPLT00020004292	protein_coding			NA
ENSAPLT00020004293	protein_coding			NA
ENSAPLT00020004294	protein_coding			NA
ENSAPLT00020004295	protein_coding			NA
ENSAPLT00020004296	protein_coding	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	NA
ENSAPLT00020004297	snoRNA			NA
ENSAPLT00020004298	protein_coding	DMXL2	Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]	NA
ENSAPLT00020004299	protein_coding	HOXB4	homeobox B4 [Source:NCBI gene;Acc:101799808]	101799808
ENSAPLT00020004300	protein_coding			NA
ENSAPLT00020004301	protein_coding			NA
ENSAPLT00020004302	protein_coding	EXOC6B	exocyst complex component 6B [Source:HGNC Symbol;Acc:HGNC:17085]	NA
ENSAPLT00020004303	protein_coding	MAN2A1	mannosidase alpha class 2A member 1 [Source:HGNC Symbol;Acc:HGNC:6824]	NA
ENSAPLT00020004304	protein_coding	PSMD4	proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]	NA
ENSAPLT00020004305	protein_coding			NA
ENSAPLT00020004306	protein_coding	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]	NA
ENSAPLT00020004307	protein_coding	VWCE	von Willebrand factor C and EGF domains [Source:HGNC Symbol;Acc:HGNC:26487]	NA
ENSAPLT00020004308	protein_coding			NA
ENSAPLT00020004309	protein_coding	RRBP1	ribosome binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10448]	NA
ENSAPLT00020004310	protein_coding	CYLD	CYLD lysine 63 deubiquitinase [Source:NCBI gene;Acc:101792318]	101792318
ENSAPLT00020004311	protein_coding			NA
ENSAPLT00020004312	protein_coding	UBE2I	ubiquitin conjugating enzyme E2 I [Source:NCBI gene;Acc:101798506]	101798506
ENSAPLT00020004313	protein_coding			NA
ENSAPLT00020004314	protein_coding	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	NA
ENSAPLT00020004315	protein_coding		NKAP domain containing 1 [Source:NCBI gene;Acc:101801750]	101801750
ENSAPLT00020004316	protein_coding			NA
ENSAPLT00020004317	protein_coding	HBP1	HMG-box transcription factor 1 [Source:NCBI gene;Acc:101797453]	101797453
ENSAPLT00020004318	protein_coding			NA
ENSAPLT00020004319	protein_coding	HOXB3	homeobox B3 [Source:NCBI gene;Acc:101799260]	101799260
ENSAPLT00020004320	protein_coding	FMR1	FMRP translational regulator 1 [Source:HGNC Symbol;Acc:HGNC:3775]	NA
ENSAPLT00020004321	protein_coding			NA
ENSAPLT00020004322	protein_coding			NA
ENSAPLT00020004323	protein_coding	CYLD	CYLD lysine 63 deubiquitinase [Source:NCBI gene;Acc:101792318]	101792318
ENSAPLT00020004324	protein_coding			NA
ENSAPLT00020004325	protein_coding			NA
ENSAPLT00020004326	protein_coding	VWCE	von Willebrand factor C and EGF domains [Source:HGNC Symbol;Acc:HGNC:26487]	NA
ENSAPLT00020004327	protein_coding	EXOC6B	exocyst complex component 6B [Source:HGNC Symbol;Acc:HGNC:17085]	NA
ENSAPLT00020004328	protein_coding	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]	NA
ENSAPLT00020004329	protein_coding	TEF	TEF transcription factor, PAR bZIP family member [Source:NCBI gene;Acc:101793496]	101793496
ENSAPLT00020004330	protein_coding			NA
ENSAPLT00020004331	protein_coding			NA
ENSAPLT00020004332	protein_coding			NA
ENSAPLT00020004333	protein_coding	HOXB2	homeobox B2 [Source:NCBI gene;Acc:101799996]	101799996
ENSAPLT00020004334	protein_coding			NA
ENSAPLT00020004335	protein_coding	UBR1	ubiquitin protein ligase E3 component n-recognin 1 [Source:HGNC Symbol;Acc:HGNC:16808]	NA
ENSAPLT00020004336	protein_coding			NA
ENSAPLT00020004337	protein_coding	DMXL2	Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]	NA
ENSAPLT00020004338	protein_coding	DSTN	destrin, actin depolymerizing factor [Source:HGNC Symbol;Acc:HGNC:15750]	NA
ENSAPLT00020004339	protein_coding	SALL1	spalt like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10524]	NA
ENSAPLT00020004340	protein_coding			NA
ENSAPLT00020004341	protein_coding	TEF	TEF transcription factor, PAR bZIP family member [Source:NCBI gene;Acc:101793496]	101793496
ENSAPLT00020004342	protein_coding			NA
ENSAPLT00020004343	protein_coding	EXOC6B	exocyst complex component 6B [Source:HGNC Symbol;Acc:HGNC:17085]	NA
ENSAPLT00020004344	protein_coding			NA
ENSAPLT00020004345	protein_coding	PCDH10	protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]	NA
ENSAPLT00020004346	protein_coding			NA
ENSAPLT00020004347	protein_coding			NA
ENSAPLT00020004348	protein_coding	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	NA
ENSAPLT00020004349	protein_coding	KCTD5	potassium channel tetramerization domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21423]	NA
ENSAPLT00020004350	protein_coding	HOXB1	homeobox B1 [Source:HGNC Symbol;Acc:HGNC:5111]	NA
ENSAPLT00020004351	lncRNA			NA
ENSAPLT00020004352	protein_coding	FMR1	FMRP translational regulator 1 [Source:HGNC Symbol;Acc:HGNC:3775]	NA
ENSAPLT00020004353	protein_coding			NA
ENSAPLT00020004354	protein_coding	PCDH10	protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]	NA
ENSAPLT00020004355	protein_coding			NA
ENSAPLT00020004356	protein_coding	KCTD5	potassium channel tetramerization domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21423]	NA
ENSAPLT00020004357	protein_coding			NA
ENSAPLT00020004358	protein_coding	RAB36	RAB36, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9775]	NA
ENSAPLT00020004359	protein_coding	RNF169	ring finger protein 169 [Source:NCBI gene;Acc:101798950]	101798950
ENSAPLT00020004360	lncRNA			NA
ENSAPLT00020004361	protein_coding	DMXL2	Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]	NA
ENSAPLT00020004362	lncRNA			NA
ENSAPLT00020004363	protein_coding	SLCO2B1	solute carrier organic anion transporter family member 2B1 [Source:NCBI gene;Acc:101798401]	101798401
ENSAPLT00020004364	lncRNA			NA
ENSAPLT00020004365	protein_coding			NA
ENSAPLT00020004366	protein_coding	SLC25A46	solute carrier family 25 member 46 [Source:NCBI gene;Acc:101802292]	101802292
ENSAPLT00020004367	protein_coding			NA
ENSAPLT00020004368	protein_coding			NA
ENSAPLT00020004369	lncRNA			NA
ENSAPLT00020004370	protein_coding	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]	NA
ENSAPLT00020004371	protein_coding			NA
ENSAPLT00020004372	protein_coding	ZNF687	zinc finger protein 687 [Source:HGNC Symbol;Acc:HGNC:29277]	NA
ENSAPLT00020004373	protein_coding	KCTD5	potassium channel tetramerization domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21423]	NA
ENSAPLT00020004374	pseudogene			NA
ENSAPLT00020004375	protein_coding			NA
ENSAPLT00020004376	protein_coding	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	NA
ENSAPLT00020004377	protein_coding		collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	NA
ENSAPLT00020004378	protein_coding	RSPH14	radial spoke head 14 homolog [Source:NCBI gene;Acc:101802696]	101802696
ENSAPLT00020004379	protein_coding			NA
ENSAPLT00020004380	protein_coding	SKAP1	src kinase associated phosphoprotein 1 [Source:NCBI gene;Acc:110353900]	110353900
ENSAPLT00020004381	protein_coding			NA
ENSAPLT00020004382	protein_coding	SLC27A6	solute carrier family 27 member 6 [Source:HGNC Symbol;Acc:HGNC:11000]	NA
ENSAPLT00020004383	protein_coding			NA
ENSAPLT00020004384	protein_coding			NA
ENSAPLT00020004385	protein_coding	DMXL2	Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]	NA
ENSAPLT00020004386	protein_coding	SLITRK2	SLIT and NTRK like family member 2 [Source:NCBI gene;Acc:101797984]	101797984
ENSAPLT00020004387	protein_coding	ARHGAP1	Rho GTPase activating protein 1 [Source:NCBI gene;Acc:101793383]	101793383
ENSAPLT00020004388	protein_coding	DENND6A	DENN domain containing 6A [Source:HGNC Symbol;Acc:HGNC:26635]	NA
ENSAPLT00020004389	protein_coding	ANGPTL5	angiopoietin like 5 [Source:HGNC Symbol;Acc:HGNC:19705]	NA
ENSAPLT00020004390	protein_coding	RNF169	ring finger protein 169 [Source:NCBI gene;Acc:101798950]	101798950
ENSAPLT00020004391	protein_coding	MOCS2	molybdopterin synthase catalytic subunit [Source:NCBI gene;Acc:101801359]	101801359
ENSAPLT00020004392	protein_coding	PHF5A	PHD finger protein 5A [Source:NCBI gene;Acc:101795103]	101795103
ENSAPLT00020004393	protein_coding			NA
ENSAPLT00020004394	snRNA		U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]	NA
ENSAPLT00020004395	protein_coding	EXOC6B	exocyst complex component 6B [Source:HGNC Symbol;Acc:HGNC:17085]	NA
ENSAPLT00020004396	protein_coding			NA
ENSAPLT00020004397	protein_coding			NA
ENSAPLT00020004398	protein_coding	SKAP1	src kinase associated phosphoprotein 1 [Source:NCBI gene;Acc:110353900]	110353900
ENSAPLT00020004399	protein_coding			NA
ENSAPLT00020004400	protein_coding	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4 [Source:HGNC Symbol;Acc:HGNC:14573]	NA
ENSAPLT00020004401	protein_coding	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]	NA
ENSAPLT00020004402	lncRNA			NA
ENSAPLT00020004403	protein_coding	GNAZ	G protein subunit alpha z [Source:NCBI gene;Acc:101799262]	101799262
ENSAPLT00020004404	protein_coding			NA
ENSAPLT00020004405	protein_coding	ZNF687	zinc finger protein 687 [Source:HGNC Symbol;Acc:HGNC:29277]	NA
ENSAPLT00020004406	protein_coding			NA
ENSAPLT00020004407	protein_coding	PDPK1	3-phosphoinositide dependent protein kinase 1 [Source:NCBI gene;Acc:101798010]	101798010
ENSAPLT00020004408	protein_coding	MOCS2	molybdopterin synthase catalytic subunit [Source:NCBI gene;Acc:101801359]	101801359
ENSAPLT00020004409	protein_coding	DENND6A	DENN domain containing 6A [Source:HGNC Symbol;Acc:HGNC:26635]	NA
ENSAPLT00020004410	protein_coding	TOX3	TOX high mobility group box family member 3 [Source:HGNC Symbol;Acc:HGNC:11972]	NA
ENSAPLT00020004411	protein_coding			NA
ENSAPLT00020004412	protein_coding	C4orf33	chromosome 4 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:27025]	NA
ENSAPLT00020004413	protein_coding			NA
ENSAPLT00020004414	protein_coding	WDR36	WD repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:30696]	NA
ENSAPLT00020004415	protein_coding			NA
ENSAPLT00020004416	protein_coding	RNF169	ring finger protein 169 [Source:NCBI gene;Acc:101798950]	101798950
ENSAPLT00020004417	protein_coding	SCAI	suppressor of cancer cell invasion [Source:HGNC Symbol;Acc:HGNC:26709]	NA
ENSAPLT00020004418	protein_coding	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]	NA
ENSAPLT00020004419	protein_coding			NA
ENSAPLT00020004420	protein_coding		protein N-terminal glutamine amidohydrolase-like [Source:NCBI gene;Acc:113841267]	113841267
ENSAPLT00020004421	protein_coding			NA
ENSAPLT00020004422	protein_coding	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	NA
ENSAPLT00020004423	protein_coding	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	NA
ENSAPLT00020004424	protein_coding			NA
ENSAPLT00020004425	protein_coding			NA
ENSAPLT00020004426	protein_coding			NA
ENSAPLT00020004427	protein_coding	TRPC6	transient receptor potential cation channel subfamily C member 6 [Source:NCBI gene;Acc:101792490]	101792490
ENSAPLT00020004428	protein_coding	SCAI	suppressor of cancer cell invasion [Source:HGNC Symbol;Acc:HGNC:26709]	NA
ENSAPLT00020004429	protein_coding			NA
ENSAPLT00020004430	protein_coding		interleukin-9 receptor-like [Source:NCBI gene;Acc:101800880]	101800880
ENSAPLT00020004431	protein_coding	KLHL2	kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]	NA
ENSAPLT00020004432	protein_coding			NA
ENSAPLT00020004433	protein_coding			NA
ENSAPLT00020004434	protein_coding			NA
ENSAPLT00020004435	protein_coding	GNB3	G protein subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:4400]	NA
ENSAPLT00020004436	protein_coding			NA
ENSAPLT00020004437	protein_coding	PGM2L1	phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]	NA
ENSAPLT00020004438	protein_coding	ATG13	autophagy related 13 [Source:NCBI gene;Acc:101793818]	101793818
ENSAPLT00020004439	protein_coding			NA
ENSAPLT00020004440	protein_coding			NA
ENSAPLT00020004441	protein_coding	CBX1	chromobox 1 [Source:HGNC Symbol;Acc:HGNC:1551]	NA
ENSAPLT00020004442	protein_coding		cystatin-like [Source:NCBI gene;Acc:101796096]	101796096
ENSAPLT00020004443	protein_coding			NA
ENSAPLT00020004444	protein_coding	HHATL	hedgehog acyltransferase like [Source:HGNC Symbol;Acc:HGNC:13242]	NA
ENSAPLT00020004445	protein_coding	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	NA
ENSAPLT00020004446	protein_coding			NA
ENSAPLT00020004447	lncRNA			NA
ENSAPLT00020004448	protein_coding	COG5	component of oligomeric golgi complex 5 [Source:HGNC Symbol;Acc:HGNC:14857]	NA
ENSAPLT00020004449	protein_coding			NA
ENSAPLT00020004450	lncRNA			NA
ENSAPLT00020004451	protein_coding	IL21R	interleukin 21 receptor [Source:NCBI gene;Acc:101796991]	101796991
ENSAPLT00020004452	protein_coding		cystatin-like [Source:NCBI gene;Acc:101796096]	101796096
ENSAPLT00020004453	protein_coding	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	NA
ENSAPLT00020004454	protein_coding	SCAI	suppressor of cancer cell invasion [Source:HGNC Symbol;Acc:HGNC:26709]	NA
ENSAPLT00020004455	protein_coding			NA
ENSAPLT00020004456	protein_coding			NA
